Fluxx Glossary,,,,,,,
Report Date: 05-Nov-2024,,,,,,,
Model Type,Field Name,Label,Use,Theme Name,Form Name,Order,Legacy
Grant Request,racial_equity_focus,Racial Equity Focus,Export Format,,,74,
Grant Request,related_relatable,Related relatable,Core Field,,,,
Grant Request,related_request_reviews_averages,Related request reviews averages,Core Field,,,,
Grant Request,related_user1,Related user1,Core Field,,,,
Grant Request,related_user2,Related user2,Core Field,,,,
Grant Request,related_user3,Related user3,Core Field,,,,
Grant Request,renewal_grant,Renewal grant,Core Field,,,,
Grant Request,request_evaluation_metrics,Request evaluation metrics,Core Field,,,,
Grant Request,request_funding_sources,Request funding sources,Core Field,,,,
Grant Request,request_organizations,Request organizations,Core Field,,,,
Grant Request,request_outcomes,Request outcomes,Core Field,,,,
Grant Request,request_received_at,Request received at,Core Field,,,,
Grant Request,request_received_at,Date Request Received,Export Format,,,40,
Grant Request,request_received_at_year,Request received at year,Core Field,,,,
Grant Request,request_recommendations,Request recommendations,Core Field,,,,
Grant Request,request_recommenders,Request recommenders,Core Field,,,,
Grant Request,request_regrants,Request regrants,Core Field,,,,
Grant Request,request_reports,Request reports,Core Field,,,,
Grant Request,request_reviews,Request reviews,Core Field,,,,
Grant Request,request_transactions,Request transactions,Core Field,,,,
Grant Request,request_type_identifier,Request type identifier,Core Field,,,,
Grant Request,request_users,Request users,Core Field,,,,
Grant Request,results,Results,Dynamic Field,,,,
Grant Request,results,Results,Export Format,,,81,
Grant Request,secondary_program_lead,Secondary program lead,Core Field,,,,
Grant Request,segment,Segment,Core Field,,,,
Grant Request,signatory_contact,Signatory contact,Core Field,,,,
Grant Request,signatory_contact_title,Signatory contact title,Core Field,,,,
Grant Request,signatory_user_org,Signatory user org,Core Field,,,,
Grant Request,signatory_user_org_title,Signatory user org title,Core Field,,,,
Grant Request,skip_hgrant_flag,Skip hgrant flag,Core Field,,,,
Grant Request,spending_year,Spending year,Core Field,,,,
Grant Request,spending_year,Fiscal Year,Export Format,,,15,
Grant Request,state,State,Core Field,,,,
Grant Request,state,Status,Export Format,,,5,
Grant Request,state_to_english,State to english,Core Field,,,,
Grant Request,state_to_external_english,State to external english,Core Field,,,,
Grant Request,sub_initiative,Sub initiative,Core Field,,,,
Grant Request,sub_program,Sub program,Core Field,,,,
Grant Request,sub_recipient_description,Sub Recipient Description,Dynamic Field,,,,
Grant Request,sub_recipient_description,Sub Recipients,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,sub_recipient_description,Sub Recipient Description,Export Format,,,82,
Grant Request,sub_recipients,Sub Recipients Exists,Dynamic Field,,,,
Grant Request,sub_recipients,Does this grant include sub-recipients?,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,sub_recipients,Sub Recipients Exists,Export Format,,,60,
Grant Request,support_type,Support Type,Dynamic Field,,,,
Grant Request,support_type,Support Type,Export Format,,,75,
Grant Request,taggable,Taggable,Core Field,,,,
Grant Request,taskable,Taskable,Core Field,,,,
Grant Request,this_request_is_a_renewal,This request is a renewal,Dynamic Field,,,,
Grant Request,this_request_is_a_renewal,This request is a renewal,Export Format,,,59,
Grant Request,title,Title,Core Field,,,,
Grant Request,total_amended_budget_amount,Total amended budget amount,Core Field,,,,
Grant Request,total_amount_claimed_to_date,Total amount claimed to date,Core Field,,,,
Grant Request,total_amount_due,Payment (Total),Export Format,,,10,
Grant Request,total_amount_paid,Total amount paid,Core Field,,,,
Grant Request,total_outcome_percent_acheived,Total outcome percent acheived,Core Field,,,,
Grant Request,total_output_percent_acheived,Total output percent acheived,Core Field,,,,
Grant Request,total_project_budget,Total Project Budget,Dynamic Field,,,,
Grant Request,total_project_budget,Total Project Budget,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,total_project_budget,Total Project Budget,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,total_project_budget,Total Project Budget,Export Format,,,64,
Grant Request,total_recommended_budget_amount,Total recommended budget amount,Core Field,,,,
Grant Request,total_requested_budget_amount,Total requested budget amount,Core Field,,,,
Grant Request,trackable,Trackable,Core Field,,,,
Grant Request,translator_assignable,Translator assignable,Core Field,,,,
Grant Request,type,Type,Core Field,,,,
Grant Request,type_of_support,Type of Support,Dynamic Field,,,,
Grant Request,type_of_support,Type of Support,Export Format,,,69,
Grant Request,updated_at,Updated at,Core Field,,,,
Grant Request,updated_at,Last Updated At,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,updated_at,Updated At,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,updated_at,Date Last Updated,Export Format,,,45,
Grant Request,updated_by,Updated by,Core Field,,,,
Grant Request,updated_by.full_name,Last Updated By,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,updated_by.full_name,Updated By,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,use_custom_fx_rate,Use custom fx rate,Core Field,,,,
Grant Request,workflowable,Workflowable,Core Field,,,,
Model Document,allowed_filetypes,Allowed filetypes,Core Field,,,,
Model Document,checked_out,Checked out,Core Field,,,,
Model Document,checkout_token,Checkout token,Core Field,,,,
Model Document,combined,Combined,Core Field,,,,
Model Document,created_at,Created at,Core Field,,,,
Model Document,created_by,Created by,Core Field,,,,
Model Document,doc_label,Doc label,Core Field,,,,
Model Document,doc_label,Label,Export Format,,,3,
Model Document,doc_type_custom,Doc type custom,Core Field,,,,
Model Document,doc_type_date,Doc type date,Core Field,,,,
Model Document,doc_type_year,Doc type year,Core Field,,,,
Model Document,document_content_type,Document content type,Core Field,,,,
Model Document,document_content_type,Content Type,Export Format,,,2,
Model Document,document_description,Document description,Core Field,,,,
Model Document,document_file_name,Document file name,Core Field,,,,
Model Document,document_file_name,File Name,Export Format,,,1,
Model Document,document_file_size,Document file size,Core Field,,,,
Model Document,document_text,Document text,Core Field,,,,
Model Document,document_type,Document type,Core Field,,,,
Model Document,document_updated_at,Document updated at,Core Field,,,,
Model Document,documentable,Documentable,Core Field,,,,
Model Document,documentable_state,Documentable state,Core Field,,,,
Model Document,documentable_type,Documentable type,Core Field,,,,
Model Document,documentable_type,Model Type,Export Format,,,4,
Model Document,external_id,External,Core Field,,,,
Model Document,has_dynamic_recipients?,Has dynamic recipients?,Core Field,,,,
Model Document,icon_url,Icon url,Core Field,,,,
Model Document,id,Id,Core Field,,,,
Model Document,index_dirty_at,Index dirty at,Core Field,,,,
Model Document,index_status,Index status,Core Field,,,,
Model Document,indexed_at,Indexed at,Core Field,,,,
Model Document,locked_by,Locked by,Core Field,,,,
Model Document,locked_manually,Locked manually,Core Field,,,,
Model Document,locked_until,Locked until,Core Field,,,,
Model Document,migrate_id,Migrate,Core Field,,,,
Model Document,migrate_source_name,Migrate source name,Core Field,,,,
Model Document,model,Model,Core Field,,,,
Model Document,model_document_master,Model document master,Core Field,,,,
Model Document,model_document_sub_type,Model document sub type,Core Field,,,,
Model Document,model_document_template,Model document template,Core Field,,,,
Model Document,model_document_type,Model document type,Core Field,,,,
Model Document,original_file_name,Original file name,Core Field,,,,
Model Document,s3_permission,S3 permission,Core Field,,,,
Model Document,segment,Segment,Core Field,,,,
Model Document,seq_number,Seq number,Core Field,,,,
Model Document,storage_type,Storage type,Core Field,,,,
Model Document,system_locked,System locked,Core Field,,,,
Model Document,updated_at,Updated at,Core Field,,,,
Model Document,updated_by,Updated by,Core Field,,,,
Model Document,upload_state,Upload state,Core Field,,,,
Model Document,url,Url,Core Field,,,,
Model Document Type,abbreviation,Abbreviation,Core Field,,,,
Model Document Type,created_at,Created at,Core Field,,,,
Model Document Type,display_custom_text,Display custom text,Core Field,,,,
Model Document Type,doc_label,Doc label,Core Field,,,,
Model Document Type,docusign_body,Docusign body,Core Field,,,,
Model Document Type,docusign_cc_recipients,Docusign cc recipients,Core Field,,,,
Model Document Type,docusign_signatures,Docusign signatures,Core Field,,,,
Model Document Type,docusign_signer_email,Docusign signer email,Core Field,,,,
Model Document Type,docusign_signer_model_relationship,Docusign signer model relationship,Core Field,,,,
Model Document Type,docusign_subject,Docusign subject,Core Field,,,,
Model Document Type,dropdown_sub_type,Dropdown sub type,Core Field,,,,
Model Document Type,enable_document_locking,Enable document locking,Core Field,,,,
Model Document Type,index_dirty_at,Index dirty at,Core Field,,,,
Model Document Type,index_status,Index status,Core Field,,,,
Model Document Type,indexed_at,Indexed at,Core Field,,,,
Model Document Type,locked_states,Locked states,Core Field,,,,
Model Document Type,migrate_id,Migrate,Core Field,,,,
Model Document Type,migrate_source_name,Migrate source name,Core Field,,,,
Model Document Type,model_document_sub_type_id,Model document sub type,Core Field,,,,
Model Document Type,model_type,Model type,Core Field,,,,
Model Document Type,name,Name,Core Field,,,,
Model Document Type,permission_name,Permission name,Core Field,,,,
Model Document Type,required,Required,Core Field,,,,
Model Document Type,required_proc,Required proc,Core Field,,,,
Model Document Type,required_state,Required state,Core Field,,,,
Model Document Type,retired,Retired,Core Field,,,,
Model Document Type,sub_type_config,Sub type config,Core Field,,,,
Model Document Type,updated_at,Updated at,Core Field,,,,
Model Document Type,upload_only_once,Upload only once,Core Field,,,,
